indicator,2012,2011,2010,2009,2008,2007,2006,2005
coal,5703,6142,5875.52,5305.17,5463.91,5259.53,5143.09,5324.52
coke,673.17,714.15,717.08,677.68,714.44,729.7,655.46,630.51
crude,2210.55,2134.69,2126.5,1937.18,1951.55,1719.57,1832.84,1967
gasoline,517.35,472.87,415.37,388.52,340.5,299.66,268.73,242.34
kerosene,402.74,400.5,399.07,353.11,321.47,295.45,261.97,223.32
diesel,568.99,532.96,509.04,483.19,427.05,417.17,370.98,329.6
natural gas,64.38,55.43,45.01,33.52,30,27.78,25.25,18.72
