indicator,2012,2011,2010,2009,2008,2007,2006,2005
coal,17634,18439,15983.62,13647.26,13298.16,12593.97,11125.98,9942.37
coke,545.5,552.13,485.97,466.43,449.6,460.97,410.78,300.16
crude,4511.51,4403.37,4455.31,3709.44,3046.21,2940.1,2805.71,2388.37
gasoline,1259.5,1207.59,1086.12,957.2,886.9,837.73,771.39,706.22
kerosene,243.57,216.93,202.38,192.12,183.07,171.14,157.4,153.72
diesel,1542.53,1500.55,1668.56,1567.91,1518.92,1438.21,1367.6,1306.66
natural gas,116.48,114.46,61.56,112.86,53.58,45.69,14.46,2.49
