indicator,2012,2011,2010,2009,2008,2007,2006,2005
coal,12084,13006,11323.33,10751.41,10169.01,10277.39,9438.51,8739.29
coke,1072.13,851.65,1089.19,1011.92,998.9,915.89,823.12,756.58
crude,926,766.03,587.6,565.77,614.11,671.67,574.49,660.86
gasoline,388.93,295.05,262.36,246.11,231.8,271.67,263.24,271.88
kerosene,35.22,32.03,30.25,30.44,25.41,24.5,20.83,12.48
diesel,501.62,561.72,502.98,432.38,375.51,395.04,342.08,282.05
natural gas,18.79,15.34,11.25,10.23,8.23,5.84,4.25,1
